City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alice springs,-23.7,133.8833,21.75,33,75,4.63,AU,1692213579
1,rio tuba,8.5061,117.4317,26.92,83,100,3.44,PH,1692213818
2,broken hill,-31.95,141.4333,12.67,54,99,4.43,AU,1692213516
3,fale old settlement,-9.3852,-171.2468,28.32,73,99,8.07,TK,1692213533
4,badiyah,22.45,58.8,27.0,65,6,4.3,OM,1692213819
5,tessaoua,13.7574,7.9874,34.82,32,77,1.86,NE,1692213819
6,yellowknife,62.456,-114.3525,21.34,49,20,4.12,CA,1692213809
7,plastun,44.7561,136.2939,20.16,98,100,4.22,RU,1692213820
8,bredasdorp,-34.5322,20.0403,9.74,88,0,2.24,ZA,1692213550
9,bilibino,68.0546,166.4372,13.75,96,100,2.26,RU,1692213820
10,albany,42.6001,-73.9662,28.83,83,4,1.53,US,1692213607
11,lata,40.1629,-8.3327,22.73,63,76,2.6,PT,1692213821
12,port macquarie,-31.4333,152.9167,8.27,90,11,3.26,AU,1692213821
13,puerto natales,-51.7236,-72.4875,4.25,52,0,2.57,CL,1692213821
14,bagepalli,13.7847,77.7931,24.94,69,100,5.58,IN,1692213822
15,waitangi,-43.9535,-176.5597,9.34,94,100,8.37,NZ,1692213491
16,port mathurin,-19.6833,63.4167,22.97,79,0,5.98,MU,1692213543
17,blackmans bay,-43.0167,147.3167,8.07,81,100,1.47,AU,1692213506
18,puerto ayora,-0.7393,-90.3518,29.98,87,100,3.13,EC,1692213554
19,igarka,67.4667,86.5833,5.95,81,0,7.38,RU,1692213823
20,grytviken,-54.2811,-36.5092,-1.04,92,96,2.32,GS,1692213493
21,adamstown,-25.066,-130.1015,19.35,57,71,8.8,PN,1692213481
22,ilulissat,69.2167,-51.1,10.01,62,20,0.0,GL,1692213526
23,georgetown,5.4112,100.3354,26.68,89,20,2.06,MY,1692213509
24,edinburgh of the seven seas,-37.0676,-12.3116,13.34,95,100,4.18,SH,1692213511
25,liwale,-9.7667,37.9333,22.71,65,94,2.52,TZ,1692213825
26,praia da vitoria,38.7333,-27.0667,29.14,70,20,5.4,PT,1692213587
27,utrik,11.2278,169.8474,27.94,77,15,4.53,MH,1692213490
28,sola,-13.8833,167.55,24.97,85,100,5.99,VU,1692213825
29,kalmunai,7.4167,81.8167,27.62,72,98,3.84,LK,1692213642
30,ulsteinvik,62.3432,5.8487,16.06,88,96,0.89,NO,1692213556
31,ola,59.5833,151.2833,12.86,94,100,0.21,RU,1692213530
32,port-aux-francais,-49.35,70.2167,1.96,56,95,15.34,TF,1692213499
33,el granada,37.5027,-122.4694,34.37,70,0,6.69,US,1692213826
34,cururupu,-1.8283,-44.8683,29.86,58,65,2.26,BR,1692213827
35,saurimo,-9.6608,20.3916,23.45,26,5,1.34,AO,1692213827
36,vasto,42.1243,14.7059,26.19,70,100,3.56,IT,1692213827
37,touros,-5.1989,-35.4608,26.99,65,67,8.75,BR,1692213660
38,jamestown,42.097,-79.2353,25.25,60,40,0.0,US,1692213420
39,zhangye,38.9342,100.4517,17.67,54,73,1.79,CN,1692213828
40,punta arenas,-53.15,-70.9167,6.01,65,0,4.12,CL,1692213504
41,kirensk,57.7853,108.1119,15.36,98,100,1.2,RU,1692213828
42,huilong,31.8111,121.655,27.74,83,99,2.01,CN,1692213829
43,crane,31.3974,-102.3501,36.65,22,30,3.35,US,1692213485
44,sitka,57.0531,-135.33,13.94,94,100,4.12,US,1692213509
45,guerrero negro,27.9769,-114.0611,29.97,47,94,4.47,MX,1692213510
46,thinadhoo,0.5333,72.9333,27.93,71,82,4.04,MV,1692213830
47,afaahiti,-17.75,-149.2833,25.93,77,91,7.21,PF,1692213830
48,aasiaat,68.7098,-52.8699,4.07,76,12,3.8,GL,1692213602
49,pedernales,18.0384,-71.744,32.55,57,1,3.31,DO,1692213831
50,lihue,21.9789,-159.3672,28.77,76,40,6.69,US,1692213435
51,candido de abreu,-24.5669,-51.3333,24.76,67,71,0.87,BR,1692213831
52,sisimiut,66.9395,-53.6735,12.24,65,5,4.08,GL,1692213514
53,west island,-12.1568,96.8225,23.99,83,40,9.77,CC,1692213538
54,pacific grove,36.6177,-121.9166,27.34,81,0,4.02,US,1692213660
55,mount gambier,-37.8333,140.7667,6.14,97,49,2.43,AU,1692213522
56,tbilisi,41.6941,44.8337,27.84,47,0,3.09,GE,1692213832
57,ryotsu-minato,38.0833,138.4333,26.43,85,14,2.93,JP,1692213834
58,bengkulu,-3.8004,102.2655,23.83,92,27,3.58,ID,1692213633
59,isafjordur,66.0755,-23.124,12.02,76,100,1.03,IS,1692213532
60,tiksi,71.6872,128.8694,4.47,98,100,3.89,RU,1692213499
61,kupang,-10.1667,123.5833,22.63,83,19,3.89,ID,1692213566
62,longyearbyen,78.2186,15.6401,5.91,75,75,8.75,SJ,1692213461
63,lakatoro,-16.0999,167.4164,23.35,89,91,3.94,VU,1692213835
64,bontang,0.1333,117.5,24.37,88,100,2.52,ID,1692213835
65,qaqortoq,60.7167,-46.0333,8.56,81,20,2.43,GL,1692213501
66,hawaiian paradise park,19.5933,-154.9731,27.07,84,40,1.54,US,1692213302
67,papatowai,-46.5619,169.4708,5.81,86,100,3.59,NZ,1692213489
68,dunedin,-45.8742,170.5036,7.11,74,48,4.02,NZ,1692213294
69,yeraliyev,43.2,51.65,26.73,39,0,2.86,KZ,1692213836
70,uturoa,-16.7333,-151.4333,24.88,72,14,7.87,PF,1692213513
71,port elizabeth,-33.918,25.5701,16.17,72,0,2.57,ZA,1692213276
72,wynne,35.2245,-90.7868,28.0,53,83,1.91,US,1692213837
73,scottburgh,-30.2867,30.7532,18.53,80,100,7.21,ZA,1692213837
74,codrington,-38.2667,141.9667,6.45,72,65,4.59,AU,1692213508
75,lompoc,34.6391,-120.4579,32.61,86,75,4.12,US,1692213247
76,nova sintra,14.8667,-24.7167,24.33,85,86,5.59,CV,1692213380
77,kapuskasing,49.4169,-82.4331,22.05,60,100,4.63,CA,1692213488
78,bocana de paiwas,12.7857,-85.1227,28.45,79,92,6.34,NI,1692213738
79,port alfred,-33.5906,26.891,16.21,85,100,0.89,ZA,1692213598
80,saint-pierre,-21.3393,55.4781,21.82,73,75,3.09,RE,1692213504
81,iqaluit,63.7506,-68.5145,6.85,86,75,8.05,CA,1692213508
82,katabu,-4.9333,122.5167,20.69,92,100,1.21,ID,1692213839
83,tazovsky,67.4667,78.7,6.3,82,6,4.15,RU,1692213538
84,wailua homesteads,22.0669,-159.378,28.44,81,40,6.69,US,1692213544
85,masallatah,32.6167,14.0,24.6,67,0,5.78,LY,1692213840
86,margaret river,-33.95,115.0667,12.89,73,60,6.08,AU,1692213840
87,acarau,-2.8856,-40.12,28.55,60,67,8.94,BR,1692213664
88,ushuaia,-54.8,-68.3,4.81,56,0,3.09,AR,1692213423
89,shantobe,52.4581,68.1839,16.47,52,100,1.57,KZ,1692213841
90,tangalle,6.024,80.7911,25.41,87,42,4.58,LK,1692213643
91,cruzeiro do sul,-29.5128,-51.9853,27.8,63,38,1.63,BR,1692213841
92,yoichi,43.2039,140.7703,25.01,88,44,5.46,JP,1692213842
93,hermoso campo,-27.6082,-61.3444,36.64,28,0,9.13,AR,1692213842
94,haiku-pauwela,20.9219,-156.3051,28.01,58,40,7.2,US,1692213590
95,kidal,18.4411,1.4078,30.9,49,100,4.8,ML,1692213530
96,hermanus,-34.4187,19.2345,12.67,82,0,5.29,ZA,1692213526
97,ta`u,-14.2336,-169.5144,27.29,73,7,7.74,AS,1692213843
